Unnamed: 0,title,video_id,published_at,keyword,likes,comments,views,pctile_7d_views,pctile_30d_views,pctile_alltime_views,like_rate,comment_rate,age_days,views_per_day,cohort_month,sentiment_var,sentiment_entropy,comment_likes_var,n_comments,frac_neg,frac_neu,frac_pos,mean_comment_likes,sentiment_var_norm,comment_likes_var_norm,sentiment_entropy_norm,controversy_score,consistent_high_performer
200,HOW2: How To Do 100 Things! [Saturday Supercut],kmhvZ8kVdG4,2018-02-24,how-to,70465.0,17616.0,10097646.0,100.0,100.0,88.61096327833954,0.006978359114589678,0.0017445650204017846,1642,6149.6017052375155,2018-02,0.45,1.2954618442339936,763676.64,10,0.1,0.3,0.6,304.6,0.45,8.93124407048531e-06,0.8173454221461777,0.42245145113008276,True
1442,The Mind Bending Story Of Quantum Physics (Part 1/2) | Spark,ISdBAf-ysI0,2018-03-20,physics,68035.0,5549.0,7209027.0,100.0,80.0,85.25811601915912,0.009437473323376373,0.0007697293962139412,1618,4455.517305315204,2018-03,0.0,-1.4428232973175175e-12,11820.240000000002,10,0.0,0.0,1.0,78.4,0.0,1.382384151644514e-07,0.0,4.60794717214838e-08,True
557,El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music],FzG4uDgje3M,2018-04-05,google,16445558.0,732818.0,4034122271.0,100.0,100.0,100.0,0.004076613670889897,0.00018165488073279077,1602,2518178.6960049937,2018-04,0.24000000000000005,0.9709505944517833,5703084.410000001,10,0.0,0.4,0.6,807.7,0.24000000000000005,6.669791394992745e-05,0.6126016192895494,0.28422277240116645,True
299,30 Easy DIY Projects For Beginners That Increase Your Home Value,2G5f_LpdLh0,2018-06-01,tutorial,76010.0,788.0,7906241.0,100.0,100.0,86.37573177221927,0.009613923987391733,9.966809764589771e-05,1545,5117.308090614887,2018-06,0.20999999999999996,0.8812908992278072,78.83999999999999,10,0.0,0.3,0.7,7.6,0.20999999999999996,9.220385247309145e-10,0.5560326498764911,0.2553442169328432,True
194,How To BRAINWASH Yourself For Success &amp; Destroy NEGATIVE THOUGHTS! | Dr. Joe Dispenza,La9oLLoI5Rc,2018-06-12,how-to,338470.0,9618.0,14322764.0,100.0,100.0,91.43161255987228,0.023631611887202777,0.000671518430381175,1534,9336.873533246415,2018-06,0.09,0.46899559358639586,19557926.21,10,0.0,0.1,0.9,1953.3,0.09,0.00022873111909518633,0.29590327428901314,0.12871066846936943,True
787,Chris Brown - To My Bed (Official Video),VfVmCnCP7Mg,2018-06-21,bed,394837.0,13938.0,42257995.0,100.0,100.0,95.7956359765833,0.009343486362758101,0.0003298310769358556,1525,27710.160655737705,2018-06,0.45,1.2954618442339936,1808388.89,10,0.1,0.3,0.6,1116.1,0.45,2.1149216441849012e-05,0.8173454221461777,0.4224555237875398,True
747,Nicki Minaj - Bed ft. Ariana Grande,zxtl5ExJmag,2018-07-07,bed,1499298.0,75048.0,94340456.0,100.0,100.0,97.87120808940925,0.015892418412732708,0.0007955017728555393,1509,62518.52617627568,2018-07,0.44000000000000006,1.1567796494427114,105284069.61,10,0.1,0.2,0.7,3841.3,0.44000000000000006,0.0012313035035625484,0.7298466991616058,0.3903593342217228,True
286,C++ Tutorial for Beginners - Full Course,vLnPwxZdW4Y,2018-08-24,tutorial,235659.0,11732.0,9769103.0,100.0,100.0,88.23842469398616,0.02412289030016369,0.0012009290924663196,1461,6686.586584531143,2018-08,0.09,0.46899559358639586,3292209.8400000003,10,0.0,0.1,0.9,1099.6,0.09,3.850259137466008e-05,0.29590327428901314,0.12864725896012927,True
1863,Machine Learning Fundamentals: Bias and Variance,EuBBz3bI-aA,2018-09-17,machine learning,109335.0,2712.0,5028230.0,100.0,85.71428571428571,81.37307078233103,0.02174423206575674,0.0005393548027834845,1437,3499.116214335421,2018-09,0.20999999999999996,0.8812908992278072,28264.559999999998,10,0.0,0.3,0.7,138.2,0.20999999999999996,3.3055572304120266e-07,0.5560326498764911,0.25534432681073804,True
458,Learn How to Solve a Rubik&#39;s Cube in 10 Minutes (Beginner Tutorial),7Ron6MN45LY,2018-09-19,cubes,461154.0,47971.0,38289391.0,100.0,100.0,95.52953698775944,0.012043910544307168,0.0012528535645813744,1435,26682.50243902439,2018-09,0.6400000000000001,0.7219280948844771,6170040.359999999,10,0.2,0.0,0.8,1496.8,0.6400000000000001,7.21589917689574e-05,0.4554859150035144,0.3651860246650945,True
