cohort_month,age_day,avg_cum_views_est
2007-07,152,2152401.040956869
2007-07,153,2166561.5741210585
2007-07,154,2180722.1072852486
2007-07,155,2194882.6404494382
2007-07,156,2209043.1736136284
2007-07,157,2223203.706777818
2007-07,158,2237364.239942008
2007-07,159,2251524.773106198
2007-07,160,2265685.306270388
2007-07,161,2279845.839434578
2007-07,162,2294006.3725987677
2007-07,163,2308166.905762958
2007-07,164,2322327.4389271475
2007-07,165,2336487.9720913377
2007-07,166,2350648.5052555273
2007-07,167,2364809.0384197175
2007-07,168,2378969.571583907
2007-07,169,2393130.1047480972
2007-07,170,2407290.6379122874
2007-07,171,2421451.171076477
2007-07,172,2435611.704240667
2007-07,173,2449772.237404857
2007-07,174,2463932.770569047
2007-07,175,2478093.3037332366
2007-07,176,2492253.8368974268
2007-07,177,2506414.370061617
2007-07,178,2520574.9032258065
2007-07,179,2534735.4363899967
2007-07,180,2548895.9695541863
2007-12,1,4995.58175046555
2007-12,2,9991.1635009311
2007-12,3,14986.74525139665
2007-12,4,19982.3270018622
2007-12,5,24977.90875232775
2007-12,6,29973.4905027933
2007-12,7,34969.07225325885
2007-12,8,39964.6540037244
2007-12,9,44960.23575418995
2007-12,10,49955.8175046555
2007-12,11,54951.39925512105
2007-12,12,59946.9810055866
2007-12,13,64942.562756052146
2007-12,14,69938.1445065177
2007-12,15,74933.72625698324
2007-12,16,79929.3080074488
2007-12,17,84924.88975791435
2007-12,18,89920.4715083799
2007-12,19,94916.05325884544
2007-12,20,99911.635009311
2007-12,21,104907.21675977655
2007-12,22,109902.7985102421
2007-12,23,114898.38026070764
2007-12,24,119893.9620111732
2007-12,25,124889.54376163875
2007-12,26,129885.12551210429
2007-12,27,134880.70726256983
